context,question,answer,context_length,question_length,answer_length
Miroslav Klose played for Società Sportiva Lazio S.p.A. during the 2015 season.,What was the market value of Miroslav Klose during their last season?,Unknown,12,12,1
Miroslav Klose played for Società Sportiva Lazio S.p.A. during the 2015 season.,For which club did Miroslav Klose last play?,Società Sportiva Lazio S.p.A.,12,8,4
Miroslav Klose played for Società Sportiva Lazio S.p.A. during the 2015 season.,What was the last known club of Miroslav Klose?,Società Sportiva Lazio S.p.A.,12,9,4
Miroslav Klose played for Società Sportiva Lazio S.p.A. during the 2015 season.,What was the market value of Miroslav Klose during their last season?,Unknown,12,12,1
Miroslav Klose played for Società Sportiva Lazio S.p.A. during the 2015 season.,What was the last known club of Miroslav Klose?,Società Sportiva Lazio S.p.A.,12,9,4
Miroslav Klose played for Società Sportiva Lazio S.p.A. during the 2015 season.,Which country did Miroslav Klose represent?,Miroslav Klose,12,6,2
Miroslav Klose played for Società Sportiva Lazio S.p.A. during the 2015 season.,What was the market value of Miroslav Klose during their last season?,Unknown,12,12,1
Miroslav Klose played for Società Sportiva Lazio S.p.A. during the 2015 season.,Which country did Miroslav Klose represent?,Miroslav Klose,12,6,2
Miroslav Klose played for Società Sportiva Lazio S.p.A. during the 2015 season.,What is Miroslav Klose's full name?,Miroslav Klose,12,6,2
Miroslav Klose played for Società Sportiva Lazio S.p.A. during the 2015 season.,What is Miroslav Klose's full name?,Miroslav Klose,12,6,2
Miroslav Klose played for Società Sportiva Lazio S.p.A. during the 2015 season.,Which country did Miroslav Klose represent?,Miroslav Klose,12,6,2
Miroslav Klose played for Società Sportiva Lazio S.p.A. during the 2015 season.,For which club did Miroslav Klose last play?,Società Sportiva Lazio S.p.A.,12,8,4
Roman Weidenfeller played for Borussia Dortmund during the 2017 season.,What was the market value of Roman Weidenfeller during their last season?,Unknown,10,12,1
Roman Weidenfeller played for Borussia Dortmund during the 2017 season.,What was the last known club of Roman Weidenfeller?,Borussia Dortmund,10,9,2
Roman Weidenfeller played for Borussia Dortmund during the 2017 season.,What was the last known club of Roman Weidenfeller?,Borussia Dortmund,10,9,2
Roman Weidenfeller played for Borussia Dortmund during the 2017 season.,In which year did Roman Weidenfeller retire?,2017,10,7,1
Roman Weidenfeller played for Borussia Dortmund during the 2017 season.,What was the market value of Roman Weidenfeller during their last season?,Unknown,10,12,1
Roman Weidenfeller played for Borussia Dortmund during the 2017 season.,What is Roman Weidenfeller's full name?,Roman Weidenfeller,10,6,2
Roman Weidenfeller played for Borussia Dortmund during the 2017 season.,In which year did Roman Weidenfeller retire?,2017,10,7,1
Roman Weidenfeller played for Borussia Dortmund during the 2017 season.,Which country did Roman Weidenfeller represent?,Roman Weidenfeller,10,6,2
Roman Weidenfeller played for Borussia Dortmund during the 2017 season.,What was the last known club of Roman Weidenfeller?,Borussia Dortmund,10,9,2
Roman Weidenfeller played for Borussia Dortmund during the 2017 season.,For which club did Roman Weidenfeller last play?,Borussia Dortmund,10,8,2
Roman Weidenfeller played for Borussia Dortmund during the 2017 season.,What is Roman Weidenfeller's full name?,Roman Weidenfeller,10,6,2
Roman Weidenfeller played for Borussia Dortmund during the 2017 season.,For which club did Roman Weidenfeller last play?,Borussia Dortmund,10,8,2
Dimitar Berbatov played for Panthessalonikios Athlitikos Omilos Konstantinoupoliton during the 2015 season.,What was the last known club of Dimitar Berbatov?,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,12,9,4
Dimitar Berbatov played for Panthessalonikios Athlitikos Omilos Konstantinoupoliton during the 2015 season.,What was the last known club of Dimitar Berbatov?,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,12,9,4
Dimitar Berbatov played for Panthessalonikios Athlitikos Omilos Konstantinoupoliton during the 2015 season.,What was the market value of Dimitar Berbatov during their last season?,Unknown,12,12,1
Dimitar Berbatov played for Panthessalonikios Athlitikos Omilos Konstantinoupoliton during the 2015 season.,Which country did Dimitar Berbatov represent?,Dimitar Berbatov,12,6,2
Dimitar Berbatov played for Panthessalonikios Athlitikos Omilos Konstantinoupoliton during the 2015 season.,For which club did Dimitar Berbatov last play?,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,12,8,4
Dimitar Berbatov played for Panthessalonikios Athlitikos Omilos Konstantinoupoliton during the 2015 season.,In which year did Dimitar Berbatov retire?,2015,12,7,1
