Question,Answer
What is the full name of Sérgio da Silva Pinto?,Sérgio da Silva Pinto
In which season did Sérgio da Silva Pinto play for Levante UD?,2013
What is the birthplace of Fabian Ernst?,"Hannover, Germany"
What is the current market value of Tomas Ujfalusi?,"€3,500,000"
Which position does Benjamin Köhler play?,Left Midfield
In which season did Sebastian Kehl retire?,2014
What is the preferred foot of Levan Kobiashvili?,Left
What is the nationality of Oka Nikolov?,North Macedonia
For which club did Gerhard Tremmel play in 2016?,Swansea City
What is the birthdate of Claudio Pizarro?,1978-10-03
What is the market value of Simon Jentzsch in 2012?,"€300,000"
Which country is Martin Stranzl from?,Austria
In which position did Aleksandr Hleb play?,Attacking Midfield
Which year was Timo Hildebrand born?,1979
What is the height of Christian Vander?,195 cm
Which club did Martin Petrov play for in the 2012 season?,Reial Club Deportiu Espanyol
Which nationality does Ivan Klasnic represent?,Croatia
Which club did Simon Rolfes play for in the 2014 season?,Bayer 04 Leverkusen
What is the market value of Giuseppe Gemiti in 2013?,"€75,000"
What is the nationality of Deniz Baris?,Turkey

What is the full name of Sérgio da Silva Pinto?,Sérgio da Silva Pinto
In which season did Sérgio da Silva Pinto play for Levante UD?,2013
What is the birthplace of Fabian Ernst?,"Hannover, Germany"
What is the current market value of Tomas Ujfalusi?,"€3,500,000"
Which position does Benjamin Köhler play?,Left Midfield
In which season did Sebastian Kehl retire?,2014
What is the preferred foot of Levan Kobiashvili?,Left
What is the nationality of Oka Nikolov?,North Macedonia
For which club did Gerhard Tremmel play in 2016?,Swansea City
What is the birthdate of Claudio Pizarro?,1978-10-03
What is the market value of Simon Jentzsch in 2012?,"€300,000"
Which country is Martin Stranzl from?,Austria
In which position did Aleksandr Hleb play?,Attacking Midfield
Which year was Timo Hildebrand born?,1979
What is the height of Christian Vander?,195 cm
Which club did Martin Petrov play for in the 2012 season?,Reial Club Deportiu Espanyol
Which nationality does Ivan Klasnic represent?,Croatia
Which club did Simon Rolfes play for in the 2014 season?,Bayer 04 Leverkusen
What is the market value of Giuseppe Gemiti in 2013?,"€75,000"
What is the nationality of Deniz Baris?,Turkey

What is the full name of Sérgio da Silva Pinto?,Sérgio da Silva Pinto
In which season did Sérgio da Silva Pinto play for Levante UD?,2013
What is the birthplace of Fabian Ernst?,"Hannover, Germany"
What is the current market value of Tomas Ujfalusi?,"€3,500,000"
Which position does Benjamin Köhler play?,Left Midfield
In which season did Sebastian Kehl retire?,2014
What is the preferred foot of Levan Kobiashvili?,Left
What is the nationality of Oka Nikolov?,North Macedonia
For which club did Gerhard Tremmel play in 2016?,Swansea City
What is the birthdate of Claudio Pizarro?,1978-10-03
What is the market value of Simon Jentzsch in 2012?,"€300,000"
Which country is Martin Stranzl from?,Austria
In which position did Aleksandr Hleb play?,Attacking Midfield
Which year was Timo Hildebrand born?,1979
What is the height of Christian Vander?,195 cm
Which club did Martin Petrov play for in the 2012 season?,Reial Club Deportiu Espanyol
Which nationality does Ivan Klasnic represent?,Croatia
Which club did Simon Rolfes play for in the 2014 season?,Bayer 04 Leverkusen
What is the market value of Giuseppe Gemiti in 2013?,"€75,000"
What is the nationality of Deniz Baris?,Turkey
What is the full name of Sérgio da Silva Pinto?,Sérgio da Silva Pinto
In which season did Sérgio da Silva Pinto play for Levante UD?,2013
What is the birthplace of Fabian Ernst?,"Hannover, Germany"
What is the current market value of Tomas Ujfalusi?,"€3,500,000"
Which position does Benjamin Köhler play?,Left Midfield
In which season did Sebastian Kehl retire?,2014
What is the preferred foot of Levan Kobiashvili?,Left
What is the nationality of Oka Nikolov?,North Macedonia
For which club did Gerhard Tremmel play in 2016?,Swansea City
What is the birthdate of Claudio Pizarro?,1978-10-03
What is the market value of Simon Jentzsch in 2012?,"€300,000"
Which country is Martin Stranzl from?,Austria
In which position did Aleksandr Hleb play?,Attacking Midfield
Which year was Timo Hildebrand born?,1979
What is the height of Christian Vander?,195 cm
Which club did Martin Petrov play for in the 2012 season?,Reial Club Deportiu Espanyol
Which nationality does Ivan Klasnic represent?,Croatia
Which club did Simon Rolfes play for in the 2014 season?,Bayer 04 Leverkusen
What is the market value of Giuseppe Gemiti in 2013?,"€75,000"
What is the nationality of Deniz Baris?,Turkey
What is the full name of Sérgio da Silva Pinto?,Sérgio da Silva Pinto
In which season did Sérgio da Silva Pinto play for Levante UD?,2013
What is the birthplace of Fabian Ernst?,"Hannover, Germany"
What is the current market value of Tomas Ujfalusi?,"€3,500,000"
Which position does Benjamin Köhler play?,Left Midfield
In which season did Sebastian Kehl retire?,2014
What is the preferred foot of Levan Kobiashvili?,Left
What is the nationality of Oka Nikolov?,North Macedonia
For which club did Gerhard Tremmel play in 2016?,Swansea City
What is the birthdate of Claudio Pizarro?,1978-10-03
What is the market value of Simon Jentzsch in 2012?,"€300,000"
Which country is Martin Stranzl from?,Austria
In which position did Aleksandr Hleb play?,Attacking Midfield
Which year was Timo Hildebrand born?,1979
What is the height of Christian Vander?,195 cm
Which club did Martin Petrov play for in the 2012 season?,Reial Club Deportiu Espanyol
Which nationality does Ivan Klasnic represent?,Croatia
Which club did Simon Rolfes play for in the 2014 season?,Bayer 04 Leverkusen
What is the market value of Giuseppe Gemiti in 2013?,"€75,000"
What is the nationality of Deniz Baris?,Turkey
What is the full name of Sérgio da Silva Pinto?,Sérgio da Silva Pinto
In which season did Sérgio da Silva Pinto play for Levante UD?,2013
What is the birthplace of Fabian Ernst?,"Hannover, Germany"
What is the current market value of Tomas Ujfalusi?,"€3,500,000"
Which position does Benjamin Köhler play?,Left Midfield
In which season did Sebastian Kehl retire?,2014
What is the preferred foot of Levan Kobiashvili?,Left
What is the nationality of Oka Nikolov?,North Macedonia
For which club did Gerhard Tremmel play in 2016?,Swansea City
What is the birthdate of Claudio Pizarro?,1978-10-03
What is the market value of Simon Jentzsch in 2012?,"€300,000"
Which country is Martin Stranzl from?,Austria
In which position did Aleksandr Hleb play?,Attacking Midfield
Which year was Timo Hildebrand born?,1979
What is the height of Christian Vander?,195 cm
Which club did Martin Petrov play for in the 2012 season?,Reial Club Deportiu Espanyol
Which nationality does Ivan Klasnic represent?,Croatia
Which club did Simon Rolfes play for in the 2014 season?,Bayer 04 Leverkusen
What is the market value of Giuseppe Gemiti in 2013?,"€75,000"
What is the nationality of Deniz Baris?,Turkey
What is the full name of Sérgio da Silva Pinto?,Sérgio da Silva Pinto
In which season did Sérgio da Silva Pinto play for Levante UD?,2013
What is the birthplace of Fabian Ernst?,"Hannover, Germany"
What is the current market value of Tomas Ujfalusi?,"€3,500,000"
Which position does Benjamin Köhler play?,Left Midfield
In which season did Sebastian Kehl retire?,2014
What is the preferred foot of Levan Kobiashvili?,Left
What is the nationality of Oka Nikolov?,North Macedonia
For which club did Gerhard Tremmel play in 2016?,Swansea City
What is the birthdate of Claudio Pizarro?,1978-10-03
What is the market value of Simon Jentzsch in 2012?,"€300,000"
Which country is Martin Stranzl from?,Austria
In which position did Aleksandr Hleb play?,Attacking Midfield
Which year was Timo Hildebrand born?,1979
What is the height of Christian Vander?,195 cm
Which club did Martin Petrov play for in the 2012 season?,Reial Club Deportiu Espanyol
Which nationality does Ivan Klasnic represent?,Croatia
Which club did Simon Rolfes play for in the 2014 season?,Bayer 04 Leverkusen
What is the market value of Giuseppe Gemiti in 2013?,"€75,000"
What is the nationality of Deniz Baris?,Turkey
What is the full name of Sérgio da Silva Pinto?,Sérgio da Silva Pinto
In which season did Sérgio da Silva Pinto play for Levante UD?,2013
What is the birthplace of Fabian Ernst?,"Hannover, Germany"
What is the current market value of Tomas Ujfalusi?,"€3,500,000"
Which position does Benjamin Köhler play?,Left Midfield
In which season did Sebastian Kehl retire?,2014
What is the preferred foot of Levan Kobiashvili?,Left
What is the nationality of Oka Nikolov?,North Macedonia
For which club did Gerhard Tremmel play in 2016?,Swansea City
What is the birthdate of Claudio Pizarro?,1978-10-03
What is the market value of Simon Jentzsch in 2012?,"€300,000"
Which country is Martin Stranzl from?,Austria
In which position did Aleksandr Hleb play?,Attacking Midfield
Which year was Timo Hildebrand born?,1979
What is the height of Christian Vander?,195 cm
Which club did Martin Petrov play for in the 2012 season?,Reial Club Deportiu Espanyol
Which nationality does Ivan Klasnic represent?,Croatia
Which club did Simon Rolfes play for in the 2014 season?,Bayer 04 Leverkusen
What is the market value of Giuseppe Gemiti in 2013?,"€75,000"
What is the nationality of Deniz Baris?,Turkey
What is the full name of Sérgio da Silva Pinto?,Sérgio da Silva Pinto
In which season did Sérgio da Silva Pinto play for Levante UD?,2013
What is the birthplace of Fabian Ernst?,"Hannover, Germany"
What is the current market value of Tomas Ujfalusi?,"€3,500,000"
Which position does Benjamin Köhler play?,Left Midfield
In which season did Sebastian Kehl retire?,2014
What is the preferred foot of Levan Kobiashvili?,Left
What is the nationality of Oka Nikolov?,North Macedonia
For which club did Gerhard Tremmel play in 2016?,Swansea City
What is the birthdate of Claudio Pizarro?,1978-10-03
What is the market value of Simon Jentzsch in 2012?,"€300,000"
Which country is Martin Stranzl from?,Austria
In which position did Aleksandr Hleb play?,Attacking Midfield
Which year was Timo Hildebrand born?,1979
What is the height of Christian Vander?,195 cm
Which club did Martin Petrov play for in the 2012 season?,Reial Club Deportiu Espanyol
Which nationality does Ivan Klasnic represent?,Croatia
Which club did Simon Rolfes play for in the 2014 season?,Bayer 04 Leverkusen
What is the market value of Giuseppe Gemiti in 2013?,"€75,000"
What is the nationality of Deniz Baris?,Turkey
What is the full name of Sérgio da Silva Pinto?,Sérgio da Silva Pinto
In which season did Sérgio da Silva Pinto play for Levante UD?,2013
What is the birthplace of Fabian Ernst?,"Hannover, Germany"
What is the current market value of Tomas Ujfalusi?,"€3,500,000"
Which position does Benjamin Köhler play?,Left Midfield
