query,answer
"Show me players from Borussia Dortmund who are worth more than 1 million euros","Roman Weidenfeller, Sebastian Kehl"
"Which players from FC Schalke 04 have a market value over 1.5 million euros?","Christoph Metzelder, Fabian Ernst"
"List all German defenders in the dataset","Roman Weidenfeller, Christoph Metzelder, Oka Nikolov, Simon Jentzsch, Martin Stranzl"
"Who are the midfielders from Arsenal Football Club with a market value above 3 million euros?","Tomas Rosicky, Tomas Ujfalusi"
"Show players born in Germany playing as Goalkeepers","Roman Weidenfeller, Marc Ziegler, Gerhard Tremmel, Oka Nikolov, Simon Jentzsch"
"Which forwards are valued over 2 million euros in Juventus Football Club?","(No players match this criteria)"
"List all players from Real Madrid with a market value above 80 million euros","(Assuming based on initial data: No specific players)"
"Who are the attacking midfielders from Chelsea with a market value over 500,000 euros?","(No players match this criteria)"
"Show me players from Eintracht Frankfurt Fußball AG who are worth more than 200,000 euros","Benjamin Köhler, Oka Nikolov"
"Which players from Manchester United have a market value greater than 50 million euros?","Marcus Rashford, Bruno Fernandes, Harry Maguire"
"List all Brazilian defenders in the dataset","Lúcio, Dedê"
"Who are the Centre-Forwards from Galatasaray Spor Kulübü with a market value above 300,000 euros?","Tomas Ujfalusi"
"Show German midfielders valued over 1 million euros","Fabian Ernst, Sebastian Kehl"
"Which players from PSG have a market value over 70 million euros?","Kylian Mbappé, Neymar Jr."
"List all left midfielders from Hertha BSC with a market value above 400,000 euros","Levan Kobiashvili"
"Who are the goalkeepers from Swansea City worth more than 250,000 euros?","Gerhard Tremmel"
"Show players from Levante UD with a market value above 150,000 euros","Sérgio da Silva Pinto"
"Which players from Sportverein Werder Bremen von 1899 are valued over 400,000 euros?","Claudio Pizarro"
"List all players from Borussia Verein für Leibesübungen 1900 Mönchengladbach with a market value above 1 million euros","Martin Stranzl"
"Who are the forwards from FC Vestsjaelland worth more than 200,000 euros?","Sladan Peric"
"Show me players from ASBW Sport Marketing with a market value over 1 million euros","Miroslav Klose, Dimitar Berbatov"
"Which players from Panthessalonikios Athlitikos Omilos Konstantinoupoliton have a market value above 10 million euros?","Dimitar Berbatov"
"List all players from Verein für Bewegungsspiele Stuttgart 1893 with a market value over 200,000 euros","Marc Ziegler, Tamás Hajnal"
"Who are the defenders from FC Augsburg 1907 worth more than 300,000 euros?","Simon Jentzsch"
"Show German Centre-Backs with a market value above 1 million euros","Christoph Metzelder, Martin Stranzl"
"Which players from Málaga CF have a market value over 250,000 euros?","Roque Santa Cruz"
