query,answer
"Show me players from Manchester United who are worth more than 50 million","Marcus Rashford, Bruno Fernandes, Harry Maguire"
"Which players from Manchester United have a market value greater than 50 million?","Marcus Rashford, Bruno Fernandes, Harry Maguire"
"Who are the players from Manchester United valued above 50 million?","Marcus Rashford, Bruno Fernandes, Harry Maguire"
"List players from Real Madrid who are worth more than 80 million","Vinícius Júnior, Federico Valverde"
"Which players from Real Madrid have a market value over 80 million?","Vinícius Júnior, Federico Valverde"
"Show the players from Real Madrid who are valued above 80 million","Vinícius Júnior, Federico Valverde"
"Who are the players from Barcelona worth more than 60 million?","Pedri, Gavi, Frenkie de Jong"
"Which players from Barcelona have a market value over 60 million?","Pedri, Gavi, Frenkie de Jong"
"List Barcelona players who are valued above 60 million","Pedri, Gavi, Frenkie de Jong"
"Give me players from Paris Saint-Germain with a market value above 70 million","Kylian Mbappé, Neymar Jr."
"Who are the players from PSG worth more than 70 million?","Kylian Mbappé, Neymar Jr."
"Which PSG players have a market value over 70 million?","Kylian Mbappé, Neymar Jr."
"Show me Bayern Munich players who are worth more than 50 million","Joshua Kimmich, Leon Goretzka, Alphonso Davies"
"Which players from Bayern Munich have a market value over 50 million?","Joshua Kimmich, Leon Goretzka, Alphonso Davies"
"Who are the Bayern Munich players valued above 50 million?","Joshua Kimmich, Leon Goretzka, Alphonso Davies"
"List Liverpool players who are valued above 60 million","Mohamed Salah, Trent Alexander-Arnold"
"Show me Liverpool players with a market value greater than 60 million","Mohamed Salah, Trent Alexander-Arnold"
"Which players from Liverpool are worth more than 60 million?","Mohamed Salah, Trent Alexander-Arnold"
"Show Chelsea players who have a market value of over 50 million","Raheem Sterling, Enzo Fernández"
"List Chelsea players worth more than 50 million","Raheem Sterling, Enzo Fernández"
"Which players from Chelsea are valued above 50 million?","Raheem Sterling, Enzo Fernández"
"Who are the Manchester City players worth more than 70 million?","Erling Haaland, Kevin De Bruyne, Phil Foden"
"Show me Manchester City players with a market value greater than 70 million","Erling Haaland, Kevin De Bruyne, Phil Foden"
"Which Manchester City players have a value over 70 million?","Erling Haaland, Kevin De Bruyne, Phil Foden"
"List players from Arsenal worth more than 50 million","Bukayo Saka, Martin Ødegaard, Gabriel Jesus"
"Who are the players from Arsenal with a market value above 50 million?","Bukayo Saka, Martin Ødegaard, Gabriel Jesus"
"Which Arsenal players have a value over 50 million?","Bukayo Saka, Martin Ødegaard, Gabriel Jesus"
